"   ","AREAID","PAREAID","AREANAME","AREAPY","ORDERID","ISAPPLY","MODTIME","AREARMK","ROWID"
"1","0","","顶级区域","top","0","1","2012/7/4","","AAAXR5AA0AAAAFLAAA"
"2","330000","0","浙江省","zhejiang","5","1","2014/1/23","","AAAXR5AA0AAAAFLAAB"
"3","330100","330000","杭州市","hangzhou","99","1","2019/10/16 10:53:55","","AAAXR5AA0AAAAFMAAA"
"4","330102","330100","上城区","sahgncheng","1","1","2018/2/5","","AAAXR5AA0AAAAFMAAB"
"5","330103","330100","下城区","xiacheng","2","1","2018/2/5","","AAAXR5AA0AAAAFMAAC"
"6","330104","330100","江干区","jianggan","3","1","2018/2/5","","AAAXR5AA0AAAAFMAAD"
"7","330106","330100","西湖区","xihu","5","1","2019/10/15 8:46:42","","AAAXR5AA0AAAAFMAAE"
"8","330108","330100","滨江区","binjiang","6","1","2019/10/15 8:47:21","","AAAXR5AA0AAAAFMAAF"
"9","330184","330100","余杭区","yuhang","11","1","2019/10/15 8:57:27","","AAAXR5AA0AAAAFMAAG"
"10","330181","330100","萧山区","xiaoshan","10","1","2019/10/15 8:57:02","","AAAXR5AA0AAAAFMAAH"
"11","330187","330100","富阳区","fuyang","12","1","2019/10/15 8:57:41","","AAAXR5AA0AAAAFMAAI"
"12","330105","330100","拱墅区","gongshu","4","1","2019/10/15 8:46:34","","AAAXR5AA0AAAAFNAAA"
"13","330110","330100","之江区","zhijiang","9","1","2019/10/15 8:56:50","","AAAXR5AA0AAAAFOAAA"
"14","330186","330100","下沙区","xiasha","7","1","2019/10/15 8:47:37","","AAAXR5AA0AAAAFOAAB"
"15","330188","330100","桐庐区","tonglu","14","1","2019/10/15 8:58:11","","AAAXR5AA0AAAAFOAAC"
"16","330189","330100","建德区","jiande","16","1","2019/10/15 8:58:42","","AAAXR5AA0AAAAFOAAD"
"17","330190","330100","淳安区","chunan","15","1","2019/10/15 8:58:27","","AAAXR5AA0AAAAFOAAE"
"18","330191","330100","临安区","linan","13","1","2019/10/15 8:57:57","","AAAXR5AA0AAAAFOAAF"
"19","330231","330100","大江东","dajiangdo","8","1","2019/10/15 8:55:42","","AAAXR5AA0AAAAFPAAB"
